product_name , pricing , ratings
Apple iPhone XR (Black| 64 GB),Rs59900,4.6
Apple iPhone 6s (Rose Gold| 32 GB),Rs29799,4.5
Apple iPhone XR (White| 64 GB),Rs59900,4.6
Apple iPhone 6s (Gold| 32 GB),Rs29799,4.4
Apple iPhone XR ((PRODUCT)RED| 128 GB),Rs64900,4.6
Apple iPhone 6s (Space Grey| 32 GB),Rs29799,4.5
Apple iPhone 6s Plus (Rose Gold| 32 GB),Rs39990,4.4
Apple iPhone XR (Coral| 64 GB),Rs59900,4.6
Apple iPhone 6s Plus (Space Grey| 32 GB),Rs39990,4.5
Apple iPhone XR (Coral| 128 GB),Rs64900,4.6
Apple iPhone XR (Black| 128 GB),Rs64900,4.6
Apple iPhone XR (Blue| 64 GB),Rs59900,4.6
Apple iPhone 6s (Silver| 32 GB),Rs29799,4.4
Apple iPhone 7 (Silver| 32 GB),Rs38999,4.5
Apple iPhone 7 (Rose Gold| 32 GB),Rs38999,4.5
Apple iPhone XR ((PRODUCT)RED| 64 GB),Rs59790,4.6
Apple iPhone XR (Yellow| 64 GB),Rs59900,4.6
Apple iPhone 6s Plus (Gold| 32 GB),Rs39990,4.4
Apple iPhone SE (Rose Gold| 128 GB),Rs32999,4.5
Apple iPhone SE (Space Grey| 128 GB),Rs32999,4.5
Apple iPhone 8 Plus (Silver| 64 GB),Rs68999,4.6
Apple iPhone 8 Plus (Silver| 256 GB),Rs79999,4.6
Apple iPhone 8 (Space Grey| 64 GB),Rs58999,4.6
Apple iPhone XR (White| 256 GB),Rs74900,4.6
